timestamp,open,high,low,close,adjusted_close,volume,forecast_high_5
3/15/2017,50.32,51.92,49.99,51.54,50.6898,9992994,50.31
3/14/2017,50.05,50.15,48.5401,49.8,48.9785,13128057,51.26
3/13/2017,51.02,51.33,50.67,50.88,50.0407,6272392,50.825
3/10/2017,51.39,51.5,50.61,50.91,50.0702,7710619,51.47
3/9/2017,50.59,50.99,49.75,50.89,50.0505,14967420,51.83
3/8/2017,52.63,53.23,51.195,51.29,50.4439,14736919,51.92
3/7/2017,53.72,53.78,52.8301,52.97,52.0962,7246368,50.15
3/6/2017,53.79,53.995,53.34,53.8,52.9125,5656123,51.33
3/3/2017,54,54.4,53.7,53.87,52.9814,4105033,51.5
3/2/2017,54.37,54.5,53.68,53.87,52.9814,5772039,50.99
3/1/2017,53.97,55.21,53.94,54.7,53.7977,7176434,53.23
2/28/2017,53,53.65,52.5,53.46,52.5781,6503678,53.78
2/27/2017,52.86,53.71,52.59,53.2,52.3224,6877618,53.995
2/24/2017,52.75,53,52.35,52.87,51.8225,6489597,54.4
2/23/2017,53.75,54.28,53.1,53.19,52.1362,7971039,54.5
2/22/2017,53.49,53.93,52.99,53.06,52.0088,7736109,55.21
2/21/2017,54.44,54.93,53.8,53.84,52.7733,7495062,53.65
2/17/2017,54.02,54.405,53.525,53.71,52.6459,9055626,53.71
2/16/2017,55.82,56,54.26,54.31,53.234,10925646,53
2/15/2017,56.18,56.56,55.6576,55.77,54.6651,5978525,54.28
2/14/2017,56.05,56.58,56.01,56.54,55.4198,8102296,53.93
2/13/2017,56.14,56.76,55.96,56.32,55.2042,7161827,54.93
2/10/2017,57.02,57.38,55.99,56.13,55.0179,7937524,54.405
2/9/2017,55.87,56.76,55.65,56.68,55.557,9320932,56
2/8/2017,54.6,55.45,53.5,55.44,54.3416,9848776,56.56
2/7/2017,55.74,56,54.6,54.88,53.7927,8394560,56.58
2/6/2017,56.64,56.76,56.01,56.1,54.9885,4745193,56.76
2/3/2017,56.25,57.06,56.13,56.58,55.459,5344372,57.38
2/2/2017,56.46,56.59,55.7,56.29,55.1748,6183447,56.76
2/1/2017,57.18,57.23,55.41,56.23,55.116,7082982,55.45
1/31/2017,56.73,56.78,55.81,56.57,55.4492,5849321,56
1/30/2017,58.02,58.1,55.37,56.48,55.361,10360950,56.76
1/27/2017,57.94,58.47,57.75,58.21,57.0567,6892974,57.06
1/26/2017,57.46,58.78,57.46,58.06,56.9097,8989812,56.59
1/25/2017,56.9,57.7,56.76,57.41,56.2726,9837065,57.23
1/24/2017,55.24,56.79,55.09,56.62,55.4982,11276703,56.78
1/23/2017,55,55.2,53.92,54.8,53.7143,17717951,58.1
1/20/2017,56.12,56.84,55.99,56.45,55.3316,14784136,58.47
1/19/2017,55.07,55.4,54.78,55.34,54.2436,9144435,58.78
